id,state
h2_01a,hass_state_1
h2_02a,hass_state_1
h2_03a,hass_state_1
h2_04a,hass_state_1
h2_05a,hass_state_1
h2_06a,hass_state_1
h2_07a,hass_state_1
h2_08a,hass_state_1
h2_09a,hass_state_1
h2_10a,hass_state_1
h2_11a,hass_state_1
h2_12a,hass_state_1
h2_13a,hass_state_1
h3_01a,hass_state_1
h3_02a,hass_state_1
h3_04A,hass_state_1
h3_05a,hass_state_1
h3_06a,hass_state_1
h3_07a,hass_state_1
h3_08a,hass_state_1
h3_09a,hass_state_1
h3_10a,hass_state_1
h3_11a,hass_state_1
h3_12a,hass_state_1
h3_13a,hass_state_1
h3_14a,hass_state_1
h3_15a,hass_state_1
h3_16a,hass_state_1
h3_17a,hass_state_1
h3_18a,hass_state_1
h3_19a,hass_state_1
h3_20a,hass_state_1
h5_01a,hass_state_1
h5_02a,hass_state_1
h5_03a,hass_state_1
h5_04a,hass_state_1
h5_05a,hass_state_1
h5_06a,hass_state_1
h5_07a,hass_state_1
h5_08a,hass_state_1
h5_09a,hass_state_1
h5_10a,hass_state_1
h5_11a,hass_state_1
h5_12a,hass_state_1
h5_13a,hass_state_1
h5_14a,hass_state_1
h5_15a,hass_state_1
h5_16a,hass_state_1
h6_01a,hass_state_1
h6_02a,hass_state_1
h6_03a,hass_state_1
h6_04a,hass_state_1
h6_05a,hass_state_1
h6_06a,hass_state_1
h6_07a,hass_state_1
h6_08a,hass_state_1
h6_09a,hass_state_1
h6_10a,hass_state_1
h6_11a,hass_state_1
h6_12a,hass_state_1
h6_13a,hass_state_1
h6_14a,hass_state_1
h6_15a,hass_state_1
h6_16a,hass_state_1
h6_17a,hass_state_1
h6_18a,hass_state_1
h6_19a,hass_state_1
h6_20a,hass_state_1
h6_21a,hass_state_1
h6_22a,hass_state_1
h8_01a,hass_state_1
h8_02a,hass_state_1
h9_01a,hass_state_1
h9_02a,hass_state_1
h9_03a,hass_state_1
h9_04a,hass_state_1
h9_05a,hass_state_1
h9_06a,hass_state_1
h9_07a,hass_state_1
h9_08a,hass_state_1
h9_09a,hass_state_1
h9_10a,hass_state_1
h9_11a,hass_state_1
h9_12a,hass_state_1
h9_13a,hass_state_1
h9_14a,hass_state_1
h9_15a,hass_state_1
h9_16a,hass_state_1
h9_17a,hass_state_1
h9_18a,hass_state_1
h9_19a,hass_state_1
h2_01b,hass_state_2
h2_02b,hass_state_2
h2_03b,hass_state_2
h2_04b,hass_state_2
h2_05b,hass_state_2
h2_06b,hass_state_2
h2_07b,hass_state_2
h2_08b,hass_state_2
h2_09b,hass_state_2
h2_10b,hass_state_2
h2_11b,hass_state_2
h2_12b,hass_state_2
h2_13b,hass_state_2
h2_14b,hass_state_2
h2_15b,hass_state_2
h2_16b,hass_state_2
h2_17b,hass_state_2
h2_18b,hass_state_2
h2_19b,hass_state_2
h2_20b,hass_state_2
h2_21b,hass_state_2
h2_22b,hass_state_2
h2_23b,hass_state_2
h2_24b,hass_state_2
h2_25b,hass_state_2
h2_26b,hass_state_2
h2_27b,hass_state_2
h2_28b,hass_state_2
h2_29b,hass_state_2
h2_30b,hass_state_2
h2_31b,hass_state_2
h2_32b,hass_state_2
h2_33b,hass_state_2
h2_34b,hass_state_2
h5_01b,hass_state_2
h5_02b,hass_state_2
h6_01b,hass_state_2
h6_02b,hass_state_2
h6_03b,hass_state_2
h6_04b,hass_state_2
h6_05b,hass_state_2
h6_06b,hass_state_2
h6_07b,hass_state_2
h6_08b,hass_state_2
h6_09b,hass_state_2
h6_10b,hass_state_2
h6_11b,hass_state_2
h6_12b,hass_state_2
h6_13b,hass_state_2
h6_14b,hass_state_2
h6_15b,hass_state_2
h6_16b,hass_state_2
h6_17b,hass_state_2
h6_18b,hass_state_2
h6_19b,hass_state_2
h6_20b,hass_state_2
h6_21b,hass_state_2
h6_22b,hass_state_2
h6_23b,hass_state_2
h6_24b,hass_state_2
h6_25b,hass_state_2
h6_26b,hass_state_2
h6_27b,hass_state_2
h8_01b,hass_state_2
h8_02b,hass_state_2
h8_03b,hass_state_2
h8_04b,hass_state_2
h8_05b,hass_state_2
h8_06b,hass_state_2
h8_07b,hass_state_2
h8_08b,hass_state_2
h8_09b,hass_state_2
h8_10b,hass_state_2
h8_11b,hass_state_2
h8_12b,hass_state_2
h8_13b,hass_state_2
h8_14b,hass_state_2
h8_15b,hass_state_2
h8_16b,hass_state_2
h8_17b,hass_state_2
h8_18b,hass_state_2
h8_19b,hass_state_2
h8_20b,hass_state_2
h9_01b,hass_state_2
h9_02b,hass_state_2
h9_03b,hass_state_2
h9_04b,hass_state_2
h9_05b,hass_state_2
h9_06b,hass_state_2
h9_07b,hass_state_2
h9_08b,hass_state_2
h9_09b,hass_state_2
h9_10b,hass_state_2
h9_11b,hass_state_2
h9_12b,hass_state_2
h9_13b,hass_state_2
h9_14b,hass_state_2
h9_15b,hass_state_2
h9_16b,hass_state_2
h9_17b,hass_state_2
h9_18b,hass_state_2
s_1b,hass_state_2
s_2b,hass_state_2
s_3b,hass_state_2
s_4b,hass_state_2
s_5b,hass_state_2
s_6b,hass_state_2
s_7b,hass_state_2
s_8b,hass_state_2
s_9b,hass_state_2
h1_01c,hass_state_3
h1_02c,hass_state_3
h1_03c,hass_state_3
h1_04c,hass_state_3
h1_05c,hass_state_3
h1_06c,hass_state_3
h1_07c,hass_state_3
h1_08c,hass_state_3
h1_09c,hass_state_3
h1_10c,hass_state_3
h1_11c,hass_state_3
h1_12c,hass_state_3
h1_13c,hass_state_3
h1_14c,hass_state_3
h1_15c,hass_state_3
h1_16c,hass_state_3
h1_17c,hass_state_3
h1_18c,hass_state_3
h1_19c,hass_state_3
h1_20c,hass_state_3
h1_21c,hass_state_3
h1_22c,hass_state_3
h1_23c,hass_state_3
h1_24c,hass_state_3
h1_25c,hass_state_3
h1_26c,hass_state_3
h1_27c,hass_state_3
h1_28c,hass_state_3
h1_29c,hass_state_3
h1_30c,hass_state_3
h1_31c,hass_state_3
h1_32c,hass_state_3
h1_33c,hass_state_3
h1_34c,hass_state_3
h1_35c,hass_state_3
h1_36c,hass_state_3
h1_37c,hass_state_3
h1_38c,hass_state_3
h1_39c,hass_state_3
h1_40c,hass_state_3
h1_41c,hass_state_3
h1_42c,hass_state_3
h2_01c,hass_state_3
h5_01c,hass_state_3
h5_02c,hass_state_3
h5_03c,hass_state_3
h5_04c,hass_state_3
h5_05c,hass_state_3
h5_06c,hass_state_3
h5_07c,hass_state_3
h5_08c,hass_state_3
h5_09c,hass_state_3
h5_10c,hass_state_3
h5_11c,hass_state_3
h5_12c,hass_state_3
h5_13c,hass_state_3
h5_14c,hass_state_3
h5_15c,hass_state_3
h5_16c,hass_state_3
h5_17c,hass_state_3
h5_18c,hass_state_3
h5_19c,hass_state_3
h5_20c,hass_state_3
h5_21c,hass_state_3
h5_22c,hass_state_3
h6_01c,hass_state_3
h6_02c,hass_state_3
h6_03c,hass_state_3
h8_01c,hass_state_3
h8_02c,hass_state_3
h8_03c,hass_state_3
h8_04c,hass_state_3
h8_05c,hass_state_3
h8_06c,hass_state_3
h9_01c,hass_state_3
h9_02c,hass_state_3
h9_03c,hass_state_3
h9_04c,hass_state_3
h9_05c,hass_state_3
h9_06c,hass_state_3
h9_07c,hass_state_3
h9_08c,hass_state_3
m2_01a,mayang_state_1
m2_02a,mayang_state_1
m2_03a,mayang_state_1
m2_04a,mayang_state_1
m2_05a,mayang_state_1
m2_06a,mayang_state_1
m2_07a,mayang_state_1
m2_08a,mayang_state_1
m2_09a,mayang_state_1
m2_10a,mayang_state_1
m2_11a,mayang_state_1
m2_12a,mayang_state_1
m5_01a,mayang_state_1
m5_02a,mayang_state_1
m5_03a,mayang_state_1
m5_04a,mayang_state_1
m6_01a,mayang_state_1
m6_02a,mayang_state_1
m6_03a,mayang_state_1
m6_04a,mayang_state_1
m6_05a,mayang_state_1
m6_06a,mayang_state_1
m6_07a,mayang_state_1
m6_08a,mayang_state_1
m6_09a,mayang_state_1
m8_01a,mayang_state_1
m8_02a,mayang_state_1
m8_03a,mayang_state_1
